,text,searchTerm,disease,processed_text
646,"CD20 mabthera
VEGF avastin",Avastin,Cancer,[]
647,"RT @_IRACM: #FakeMeds
New batch of fake Avastin reached U.S. via Britain https://t.co/2GTFSham00",Avastin,Cancer,"['new', 'batch', 'fake', 'us', 'via']"
648,Off to Germany tomorrow as no one will give me avastin grrrrr,Avastin,Cancer,"['tomorrow', 'one', 'give']"
649,"Study suggests that 2 adverse events may predict improved outcomes with Avastin (bevacizumab) via @BiosimCenter
https://t.co/Sphkqxxv2d",Avastin,Cancer,"['studi', 'advers', 'may', 'predict', 'via']"
650,"https://t.co/txYg7Ha7rG

#SusanDesmondHellman helped develop three drug treatments

#Genentech
#Facebook
#Advertising
#Zuckerberg",Avastin,Cancer,"['develop', 'three', 'drug', 'advertis']"
651,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
652,"Yesterday afternoon, I celebrated life and living with a 3.5 mile walk in the woods...and to get that Avastin pumping through my veins. Holding you all, in particular my teal sisters, in my heart. Love and light xxx https://t.co/8woMYuOyD5",Avastin,Cancer,"['yesterday', 'afternoon', 'celebr', 'life', 'live', 'mile', 'walk', 'get', 'hold', 'particular', 'teal', 'heart', 'love', 'light']"
653,What are $ROGâ€™s latest plans when it comes to future #Avastin and #Tecentriq #NSCLC trials? Read @BioPharmInsight to find out https://t.co/gjXkP6VCwb,Avastin,Cancer,"['latest', 'come', 'futur', 'read', 'find']"
654,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/uksLkp0MAR https://t.co/kI8hsYvcJO,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
655,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/1L3hAzZoeQ https://t.co/TvXmVXEOtm,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
656,Study: Avastin Copycat ABP 215 Found Helpful In Lung Cancer #lungcancer https://t.co/udWBP2G2uS,Avastin,Cancer,"['studi', 'copycat', 'found', 'help', 'lung', 'cancer']"
657,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
658,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/9Jkd63v7KA https://t.co/OpUas5rd9e,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
659,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/zeiCUXBWbN https://t.co/qHWCL8NHi7,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
660,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/MKLVe9ZqoR https://t.co/DZn8fCQ646,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
661,"@robdelaney Iâ€™m sorry that happened to your son. My dad has stage 4 glioblastoma, had surgery Dec and the part of the tumor in the central part of his brain was left in for that very reason. Heâ€™s 4 weeks out from rad/chemo and itâ€™s already growing l",Avastin,Cancer,"['sorri', 'son', 'dad', 'stage', 'surgeri', 'part', 'tumor', 'central', 'part', 'brain', 'left', 'reason', 'alreadi', 'grow', 'l']"
662,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/M6wOa9QRpc https://t.co/8PnRDJLPXj,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
663,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
664,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/wd42rukI4j https://t.co/lkfgJYdxxz,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
665,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/zD6evsFhIJ https://t.co/kv3DYTWqFK,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
666,"In a win for @Roche, cost gatekeepers change tune to back #Tecentriq in #lungcancer #NSCLC #biotech #biotechnology #biopharma #pharma #druglaunch #IO #immunooncology #Avastin #Keytruda #UK #NICE $RHHBY https://t.co/QlwSz2yaeE",Avastin,Cancer,"['win', 'cost', 'chang', 'tune', 'back', 'io', 'nice']"
667,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/54euOctBWv https://t.co/4QqbgMBEYr,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
668,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/kNH9upKBm0 https://t.co/O9MT3XzNUB,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
669,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
670,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
671,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
672,RT @fkmunro: My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  whoâ€¦,Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl']"
673,Genentech's Late-Stage Trial Data Shows Combination of Tecentriq and Avastin Helps NSCLC Patients Live Longer https://t.co/pP5ewmFYVS https://t.co/wJCvz8xC2p,Avastin,Cancer,"['trial', 'data', 'combin', 'live', 'longer']"
674,"My â€˜hospitalâ€™ for the day.I am receiving Avastin through a drip in my living room!This is made possible by @hah_insights  who are sending a nurse to our house every 3 weeks.
Thank you all for making this possible.Please keep sharing/donating/fundraising x
https://t.co/reTVVwpuWo https://t.co/bNeRZaQocz",Avastin,Cancer,"['hospit', 'drip', 'live', 'made', 'possibl', 'send', 'nurs', 'hous', 'everi', 'thank', 'make', 'keep', 'x']"
675,Avastin Starts TODAY! Thank You! https://t.co/qWjVOH8UrI https://t.co/816SUQzcdT,Avastin,Cancer,"['today', 'thank']"
676,Avastin Starts TODAY! ThankÂ You! https://t.co/ck5YRADQMa https://t.co/WAhmv7gQKW,Avastin,Cancer,"['today', 'thank']"
677,"RT @mattbc: I suppose they've never faced the realities we have? They've never needed IV IG, avastin, rituxan, or humira? Or they think theâ€¦",Avastin,Cancer,"['suppos', 'never', 'face', 'never', 'think']"
678,"RT @mattbc: I suppose they've never faced the realities we have? They've never needed IV IG, avastin, rituxan, or humira? Or they think theâ€¦",Avastin,Cancer,"['suppos', 'never', 'face', 'never', 'think']"
679,"RT @mattbc: I suppose they've never faced the realities we have? They've never needed IV IG, avastin, rituxan, or humira? Or they think theâ€¦",Avastin,Cancer,"['suppos', 'never', 'face', 'never', 'think']"
680,"I suppose they've never faced the realities we have? They've never needed IV IG, avastin, rituxan, or humira? Or they think their 6 figure salaries &amp; prestigious affiliations will insulate them? https://t.co/SrfImbeR6s",Avastin,Cancer,"['suppos', 'never', 'face', 'never', 'think', 'figur', 'prestigi', 'insul']"
681,RT @FAMILYFOREVERJP: To find a UK consultant to prescribe my avastin as @royalmarsdenNHS said NOOOOOOO even though we are willing to pay.,Avastin,Cancer,"['find', 'consult', 'prescrib', 'said', 'even', 'though', 'will', 'pay']"
682,"@Frederick987 There is a very inexpensive, and highly effective treatment for age-related macular degeneration, and that is Roche's Avastin. This biologic is used off-label, is about as effective as other biologic agents, but costs only about 5% of these ",Avastin,Cancer,"['inexpens', 'highli', 'effect', 'treatment', 'macular', 'degener', 'biolog', 'use', 'effect', 'biolog']"
683,RT @FAMILYFOREVERJP: To find a UK consultant to prescribe my avastin as @royalmarsdenNHS said NOOOOOOO even though we are willing to pay.,Avastin,Cancer,"['find', 'consult', 'prescrib', 'said', 'even', 'though', 'will', 'pay']"
684,"5) potential EU 2L HCC approval in 2019; 6) IpiNivo competitor US approval in 1L RCC (expected ahead of April 16 PDUFA); and 7) filing of atezo + Avastin for 1L RCC in 2018, with potential approval in 2019.",Avastin,Cancer,"['potenti', 'eu', 'l', 'approv', 'competitor', 'us', 'approv', 'l', 'ahead', 'file', 'l', 'potenti', 'approv']"
685,RT @FAMILYFOREVERJP: To find a UK consultant to prescribe my avastin as @royalmarsdenNHS said NOOOOOOO even though we are willing to pay.,Avastin,Cancer,"['find', 'consult', 'prescrib', 'said', 'even', 'though', 'will', 'pay']"
686,RT @FAMILYFOREVERJP: To find a UK consultant to prescribe my avastin as @royalmarsdenNHS said NOOOOOOO even though we are willing to pay.,Avastin,Cancer,"['find', 'consult', 'prescrib', 'said', 'even', 'though', 'will', 'pay']"
687,To find a UK consultant to prescribe my avastin as @royalmarsdenNHS said NOOOOOOO even though we are willing to pay.,Avastin,Cancer,"['find', 'consult', 'prescrib', 'said', 'even', 'though', 'will', 'pay']"
688,Avastin Drug Insight 2018 Report Updated 14022018 Prices from USD $1000 https://t.co/wb8Dx38Q2D,Avastin,Cancer,"['drug', 'insight', 'report']"
689,"RT @PeterKarthMD: @DrRobMelendez Generic Pred and ketoralac, not Durazol and Illevro.   Avastin.  But always dong whatâ€™s best for the patieâ€¦",Avastin,Cancer,"['gener', 'alway', 'dong', 'what', 'best']"
690,"@DrRobMelendez Generic Pred and ketoralac, not Durazol and Illevro.   Avastin.  But always dong whatâ€™s best for the patient.",Avastin,Cancer,"['gener', 'alway', 'dong', 'what', 'best', 'patient']"
691,RT @fezziwig2008: Bevacizumab (Avastin) recently failed in #PancreaticCancer - https://t.co/7R2SENoILG in part because its use promotes Hyaâ€¦,Avastin,Cancer,"['recent', 'part', 'use']"
692,@cmclymer avastin .. its a helluva drug.,Avastin,Cancer,['drug']
693,RT @fezziwig2008: So why does Avastin work w Tecentriq in Renal Cancer? Same reason $NKTR's IL-2 does w Opdivo- it's low Hyaluronan solid Câ€¦,Avastin,Cancer,"['work', 'w', 'renal', 'cancer', 'reason', 'w', 'low', 'solid', 'c']"
694,So it was no surprise that Avastin alone failed in High Hyaluronan Prostate Cancer-  @Roche should retry with $HALO PegpH20 with and without a Tecentriq. https://t.co/5pS77RHLeN https://t.co/nMrJRo63PB,Avastin,Cancer,"['surpris', 'alon', 'high', 'prostat', 'cancer', 'retri', 'halo', 'without']"
695,"So why does Avastin work w Tecentriq in Renal Cancer? Same reason $NKTR's IL-2 does w Opdivo- it's low Hyaluronan solid Ca - $HALO needed in Colon, Breast, Pancreatic, Gastric https://t.co/E3zzfNjLEw",Avastin,Cancer,"['work', 'w', 'renal', 'cancer', 'reason', 'w', 'low', 'solid', 'ca', 'halo', 'colon', 'breast', 'pancreat', 'gastric']"
696,RT @fezziwig2008: Bevacizumab (Avastin) recently failed in #PancreaticCancer - https://t.co/7R2SENoILG in part because its use promotes Hyaâ€¦,Avastin,Cancer,"['recent', 'part', 'use']"
697,"RT @fezziwig2008: #ColonCancer ""Enzymatic depletion of HA after anti-VEGF <U+2B06><U+FE0F>d tissue perfusion &amp; prolonged survival vs mice given Avastin oâ€¦",Avastin,Cancer,"['enzymat', 'deplet', 'ha', 'tissu', 'perfus', 'surviv', 'mice', 'given']"
698,Bevacizumab (Avastin) recently failed in #PancreaticCancer - https://t.co/7R2SENoILG in part because its use promotes Hyaluronan deposition https://t.co/lrlguzOJFx so combination with $HALO PegpH20 should be employed in future trial w/Tecentriq . $RHHBY https://t.co/3xryfF6pv9,Avastin,Cancer,"['recent', 'part', 'use', 'deposit', 'combin', 'halo', 'employ', 'futur', 'trial']"
699,How is #Avastin a Good Option for Treating #EyeDiseases. https://t.co/qjPrISTDQ2 https://t.co/ewyuAlV71p,Avastin,Cancer,"['good', 'option', 'treat']"
700,"RT @_IRACM: #FakeMeds
New batch of fake Avastin reached U.S. via Britain https://t.co/2GTFSham00",Avastin,Cancer,"['new', 'batch', 'fake', 'us', 'via']"
701,"RT @fezziwig2008: Avastin induced Hyaluronan deposition found ""In Patients""  - A Unique Clinical (not merely preclinical) response callingâ€¦",Avastin,Cancer,"['induc', 'deposit', 'found', 'uniqu', 'clinic', 'mere', 'preclin', 'respons', 'call']"
702,This elephant needs Avastin!,Avastin,Cancer,"['eleph', 'need']"
703,"So, hypothetical scenario is the phase 3 data shows:
-safety
-not sig mOS and PFS benefit
-5% CR rate vs. 1% for avastin/chemo/SoC in rGBM

In which case it could be approvable with the idea being: put it in the armamentarium and let docs experiment w/ combos since rGBM=death.",Avastin,Cancer,"['hypothet', 'scenario', 'phase', 'data', 'safeti', 'sig', 'benefit', 'rate', 'case', 'could', 'approv', 'idea', 'put', 'armamentarium', 'let', 'experi', 'w', 'sinc']"
704,Expect $AGN $MYL Avastin Biosimilars to have similar Hyaluronan Secondary Deposition in #ColorectalCancer- similarly limiting their penetrance and that of accompanying therapy. $HALO https://t.co/UgBCqO6NhQ,Avastin,Cancer,"['expect', 'similar', 'secondari', 'deposit', 'similarli', 'limit', 'penetr', 'therapi', 'halo']"
705,"RT @fezziwig2008: Avastin induced Hyaluronan deposition found ""In Patients""  - A Unique Clinical (not merely preclinical) response callingâ€¦",Avastin,Cancer,"['induc', 'deposit', 'found', 'uniqu', 'clinic', 'mere', 'preclin', 'respons', 'call']"
706,"Avastin induced Hyaluronan deposition found ""In Patients""  - A Unique Clinical (not merely preclinical) response calling for $HALO PegpH20 use with antiVEGF therapy at least in colorectal Ca. https://t.co/ptNp6uBKj4 https://t.co/iJpZeFnmAJ",Avastin,Cancer,"['induc', 'deposit', 'found', 'uniqu', 'clinic', 'mere', 'preclin', 'respons', 'call', 'halo', 'use', 'therapi', 'least', 'ca']"
707,"RT @fezziwig2008: Recall $HALO $RHHBY 8 target 11/16 deal-PegpH20+Tecentriq : Pancreatic, Gastric, Bile Duct Cancers Named and in Progressâ€¦",Avastin,Cancer,"['recal', 'halo', 'target', 'pancreat', 'gastric', 'bile', 'duct', 'progress']"
708,"Recall $HALO $RHHBY 8 target 11/16 deal-PegpH20+Tecentriq : Pancreatic, Gastric, Bile Duct Cancers Named and in Progress - NSCLC, Colorectal, Head And Neck, Prostate, and Bladder Cancers to follow. Will shadow all $MRK $BMY targets. Avastin added after synergy established. https://t.co/asSTcE8OIf",Avastin,Cancer,"['recal', 'halo', 'target', 'pancreat', 'gastric', 'bile', 'duct', 'progress', 'head', 'neck', 'prostat', 'bladder', 'follow', 'shadow', 'ad', 'synergi', 'establish']"
709,RT @fezziwig2008: Is the deposition of Hyaluronan after Avastin use- a self-limiting barrier to therapeutic success important? Look at Avasâ€¦,Avastin,Cancer,"['deposit', 'use', 'barrier', 'therapeut', 'success', 'import', 'look']"
710,Is the deposition of Hyaluronan after Avastin use- a self-limiting barrier to therapeutic success important? Look at Avastin's Blockbuster revenues and think what partnership w Tecentriq will do to them- $HALO PegpH20 is already partnered w Tecentriq-a natural triple combination https://t.co/AFSVx4qLMT,Avastin,Cancer,"['deposit', 'use', 'barrier', 'therapeut', 'success', 'import', 'look', 'blockbust', 'think', 'partnership', 'w', 'halo', 'alreadi', 'w', 'natur', 'tripl', 'combin']"
711,"Why Avastin use calls for $HALO PegpH20 ""Vascular changes after VEGF ablation result in <U+2B07><U+FE0F>d delivery leading to therapeutic failure- impaired response after anti-VEGF treatment directly linked to strong deposition of extracellular matrix (HA) components"" https://t.co/8ezqwrQLF7",Avastin,Cancer,"['use', 'halo', 'vascular', 'ablat', 'result', 'deliveri', 'lead', 'therapeut', 'failur', 'respons', 'treatment', 'directli', 'link', 'strong', 'deposit', 'extracellular', 'matrix', 'ha']"
712,New batch of fake Avastin reached U.S. via Britain | Article [AMP] | Reuters https://t.co/0wfV8THrZM,Avastin,Cancer,"['new', 'batch', 'fake', 'us', 'via', 'articl']"
713,"RT @_IRACM: #FakeMeds
New batch of fake Avastin reached U.S. via Britain https://t.co/2GTFSham00",Avastin,Cancer,"['new', 'batch', 'fake', 'us', 'via']"
714,"According to a Canadian analysis, Avastin (bevacizumab) is unlikely to be cost-effective in the treatment of #ovariancancer via @BiosimCenter https://t.co/3BpUBx66pd https://t.co/L0jxj9J81x",Avastin,Cancer,"['accord', 'analysi', 'unlik', 'treatment', 'via']"
715,Antidepressant-like effect of losartan involves TRKB transactivation from angiotensin receptor type 2 (AGTR2) and recruitment of FYN https://t.co/w6hkRjF9kj #Psychiatry,Losartan,High_Bp,"['effect', 'receptor', 'type', 'recruit', 'psychiatri']"
716,RT @RevEspCardiol: Effect of Losartan on Right Ventricular Dysfunction via @CircAHA https://t.co/oMU3uL18sy,Losartan,High_Bp,"['effect', 'right', 'ventricular', 'dysfunct', 'via']"
717,RT @RevEspCardiol: Effect of Losartan on Right Ventricular Dysfunction via @CircAHA https://t.co/oMU3uL18sy,Losartan,High_Bp,"['effect', 'right', 'ventricular', 'dysfunct', 'via']"
718,RT @RevEspCardiol: Effect of Losartan on Right Ventricular Dysfunction via @CircAHA https://t.co/oMU3uL18sy,Losartan,High_Bp,"['effect', 'right', 'ventricular', 'dysfunct', 'via']"
719,RT @RevEspCardiol: Effect of Losartan on Right Ventricular Dysfunction via @CircAHA https://t.co/oMU3uL18sy,Losartan,High_Bp,"['effect', 'right', 'ventricular', 'dysfunct', 'via']"
720,Effect of Losartan on Right Ventricular Dysfunction via @CircAHA https://t.co/oMU3uL18sy,Losartan,High_Bp,"['effect', 'right', 'ventricular', 'dysfunct', 'via']"
721,Losartan helps me. https://t.co/9ERFAAkRJo,Losartan,High_Bp,[]
722,"Angiotensin Receptor Blockers (ARBs)  End in ""sartan""  Used if ACE inhibitor intolerant  Valsartan, losartan, olmesartan",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
723,I had a patient with 4 episodes of stroke 1 MI(2017). Losartan Amlodipine Metformin lang meds niya huhuhu I kenat,Losartan,High_Bp,"['patient', 'stroke', 'mi']"
724,Cheapest Prices Ever - Losartan How Much - Worldwide Shipping (1-3 Days) https://t.co/Mq7sEGoUOp https://t.co/pIfX3hyZZw,Losartan,High_Bp,"['ever', 'much', 'ship', 'day']"
725,RT @EJHP_BMJ: No association between losartan use and acute pancreatitis in hypertensive patients | European Journal of Hospital Pharmacy hâ€¦,Losartan,High_Bp,"['associ', 'use', 'acut', 'pancreat', 'hypertens', 'journal', 'hospit', 'pharmaci', 'h']"
726,No association between losartan use and acute pancreatitis in hypertensive patients | European Journal of Hospital Pharmacy https://t.co/B1BMbAp3Bu,Losartan,High_Bp,"['associ', 'use', 'acut', 'pancreat', 'hypertens', 'journal', 'hospit', 'pharmaci']"
727,"RT @tayyy_592: ACE Inhibitors are the â€œprilsâ€ 
 Ex. Lisinopril &amp; Monopril

Angiotensin Receptor Blockers(ARBs)
 Ex. Losartan &amp; Valsartan

Bâ€¦",Losartan,High_Bp,"['ace', 'ex', 'receptor', 'ex', 'b']"
728,"ACE Inhibitors are the â€œprilsâ€ 
 Ex. Lisinopril &amp; Monopril

Angiotensin Receptor Blockers(ARBs)
 Ex. Losartan &amp; Valsartan

Beta Blockers are the â€œlolsâ€
 Ex. Metoprolol &amp; Carvedilol

Diuretics(water pills) â€œidesâ€
 Ex. Furosemide(Lasix) &amp; Torsemide(Demadex)",Losartan,High_Bp,"['ace', 'ex', 'receptor', 'ex', 'beta', 'ex', 'ide', 'ex']"
729,Antidepressant-like effect of losartan involves TRKB transactivation from angiotensin receptor type 2 (AGTR2) and recruitment of FYN https://t.co/RuMarrtuQ1 #Psychiatry,Losartan,High_Bp,"['effect', 'receptor', 'type', 'recruit', 'psychiatri']"
730,"So I officially started taking lifezar (losartan) and avamax (atorvastatin). Accdg to google, there're moderate interaction to zidovidine and efavirenz (my ARV). But crossing my fingers na the former will help in normalizing my BP and cholesterol level. Healthy lifestyle na tlaga",Losartan,High_Bp,"['offici', 'take', 'moder', 'interact', 'cross', 'na', 'former', 'help', 'cholesterol', 'level', 'healthi', 'na']"
731,"Chronic Disease Approaches to Curb #Gout. Remark #Losartan &amp; #Amlodipine don't Rise Up Uric Acid in Blood, An Opportunity for #Hyperensive Pts. @JPUsdin https://t.co/jlsQ7few1i",Losartan,High_Bp,"['chronic', 'diseas', 'curb', 'gout', 'remark', 'dont', 'rise', 'uric', 'acid', 'blood', 'opportun']"
732,"Nak carut bahasa pharmacology be like,
""losartan! barbiturate!"" lols
-nat, 2018-",Losartan,High_Bp,"['nak', 'pharmacolog', 'like', 'barbitur', 'nat']"
733,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
734,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
735,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
736,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
737,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
738,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
739,"RT @LearntheHeart: Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartanâ€¦",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
740,"Angiotensin Receptor Blockers (ARBs)

End in ""sartan""

Used if ACE inhibitor intolerant

Valsartan, losartan, olmesartan

#USMLE",Losartan,High_Bp,"['receptor', 'end', 'use', 'ace', 'inhibitor', 'intoler']"
741,"RT @lurkallnight: One of the most ironic statements I've heard:

""Why would I trust someone who relies on medication just to function normaâ€¦",Losartan,High_Bp,"['one', 'would', 'trust', 'someon', 'medic', 'function', 'norma']"
742,"Losartan Price * Pill Shop, Secure And Anonymous https://t.co/rMW0TeTjMe https://t.co/oFQUk2wHtg",Losartan,High_Bp,"['price', 'pill', 'shop', 'secur', 'anonym']"
743,@toates_19 @calvapo @kidney_boy NHS presumably does not have one prefd agent like the VA (which is lisinopril/losartan/HCTZ/atenolol) ?,Losartan,High_Bp,"['presum', 'one', 'agent', 'like']"
744,RT @CircAHA: #REDEFINE trial - Losartan had no significant effect on RV dysfunction in adults with #TOF https://t.co/yCAeR6Evbf https://t.câ€¦,Losartan,High_Bp,"['redefin', 'trial', 'signific', 'effect', 'dysfunct']"
745,"One of the most ironic statements I've heard:

""Why would I trust someone who relies on medication just to function normally?"" - talking about someone taking lexapro for GAD.

The person who said this takes amlodipine, clonidine, losartan, aspirin, B complex, and insulin daily.",Losartan,High_Bp,"['one', 'would', 'trust', 'someon', 'medic', 'function', 'normal', 'talk', 'someon', 'take', 'gad', 'person', 'said', 'aspirin', 'b', 'complex', 'insulin', 'daili']"
746,"Losartan for my hypertension
Catapress for my heart
My daughters Nash And Ysraelle again got worried about me...I will always be fine,and God will always provide everything for me...",Losartan,High_Bp,"['hypertens', 'heart', 'nash', 'got', 'worri', 'alway', 'god', 'alway', 'provid', 'everyth']"
747,Losartan And Severe Joint Pain https://t.co/xyk64UiLlq,Losartan,High_Bp,"['sever', 'joint', 'pain']"
748,"When I changed jobs 2.5 years ago, I had to learn meditech, ATHENA and attend Cerner training ( havenâ€™t used Cerner yet) all in the same week. Had to grab 25 mg Losartan- not kidding. Good luck hope itâ€™s easy for you ( but check your BP!!) <f0><U+009F><U+0096><U+00A5><U+2328><U+FE0F><f0><U+009F><U+0091><U+008E> https://t.co/gMhnz0p1Bh",Losartan,High_Bp,"['ago', 'learn', 'attend', 'train', 'havent', 'use', 'yet', 'week', 'grab', 'good', 'luck', 'hope', 'easi', 'check']"
749,"@zetadoc Iâ€™m on 50mg Losartan+5mg Amlodipine but theyâ€™re not working today+my blood pressure is sky https://t.co/8CNwTwukRn itâ€™s your fault,why are you,a GP wasting NHS funds on a â€˜minorityâ€™ like myself?Before you say â€˜stupid commentâ€™-relax+",Losartan,High_Bp,"['theyr', 'work', 'blood', 'pressur', 'sky', 'wast', 'fund', 'minor', 'like', 'say', 'stupid']"
750,Can Taking Losartan 50 Mg Cause Chest Pain? https://t.co/iURplAuyRB,Losartan,High_Bp,"['take', 'caus', 'chest', 'pain']"
751,"A recently published article from Dr Pascal Bernatchez et al - ""Inhibition of Marfan Syndrome Aortic Root Dilation by Losartan: Role of Angiotensin II Receptor Type 1-Independent Activation of Endothelial Function""
https://t.co/F4bIJfE0LO @helpstpauls",Losartan,High_Bp,"['recent', 'articl', 'al', 'inhibit', 'syndrom', 'aortic', 'root', 'dilat', 'role', 'receptor', 'type', 'independ', 'activ', 'endotheli', 'function']"
752,Legal Online Pharmacy - Losartan 50 mg Buy https://t.co/H2hbuMHDyl https://t.co/RBCLYTc3ZM,Losartan,High_Bp,"['legal', 'pharmaci', 'buy']"
753,"@shmermel Itâ€™s crazy that nobody hates diabetics for taking metformin, or losartan for blood pressure. But god forbid your smoke weed for literally the plethora of things it helps, itâ€™s frowned upon. Itâ€™s looked at like it makes people lazy yet I li",Losartan,High_Bp,"['crazi', 'nobodi', 'take', 'blood', 'pressur', 'god', 'forbid', 'smoke', 'weed', 'liter', 'plethora', 'upon', 'like', 'peopl', 'lazi', 'yet', 'li']"
754,"@DocBennett1ID @rzrbkgirl1 Just saw the guy. Had dullness to percussion at both lung bases with rales and 4+ edema. Just like the 2nd CXR showed. Piled on spiro, losartan and lasix. My CMA had never heard dullness or rales. Teachable moment.",Losartan,High_Bp,"['saw', 'guy', 'dull', 'percuss', 'lung', 'base', 'edema', 'like', 'pile', 'spiro', 'never', 'dull', 'teachabl', 'moment']"
755,Did you know that combining #Antibiotics with your other #medications could cause an adverse drug reaction?? #meds #losartan https://t.co/Udim8HmFl4,Losartan,High_Bp,"['know', 'combin', 'could', 'caus', 'advers', 'drug', 'reaction']"
756,RT @CircAHA: #REDEFINE trial - Losartan had no significant effect on RV dysfunction in adults with #TOF https://t.co/yCAeR6Evbf https://t.câ€¦,Losartan,High_Bp,"['redefin', 'trial', 'signific', 'effect', 'dysfunct']"
